[05:31:16] [Server thread/INFO]: Starting minecraft server version 1.7.10
[05:31:17] [Server thread/INFO]: Loading properties
[05:31:17] [Server thread/INFO]: Default game type: CREATIVE
[05:31:17] [Server thread/INFO]: Generating keypair
[05:31:17] [Server thread/INFO]: Starting Minecraft server on *:25565
[05:31:17] [Server thread/WARN]: **** SERVER IS RUNNING IN OFFLINE/INSECURE MODE!
[05:31:17] [Server thread/WARN]: The server will make no attempt to authenticate usernames. Beware.
[05:31:17] [Server thread/WARN]: While this makes the game possible to play without internet access, it also opens up the ability for hackers to connect with any username they choose.
[05:31:17] [Server thread/WARN]: To change this, set "online-mode" to "true" in the server.properties file.
[05:31:18] [Server thread/INFO]: Preparing level "world"
[05:33:21] [Server thread/INFO]: Preparing start region for level 0
[05:33:21] [Server thread/WARN]: Skipping BlockEntity with id tileTCRailGag
[05:33:21] [Server thread/WARN]: Skipping BlockEntity with id tileTCRailGag
[05:33:21] [Server thread/WARN]: Skipping BlockEntity with id tileTCRailGag
[05:33:21] [Server thread/WARN]: Skipping BlockEntity with id tileTCRail
[05:33:21] [Server thread/WARN]: Skipping BlockEntity with id tileTCRailGag
[05:33:21] [Server thread/WARN]: Skipping BlockEntity with id tileTCRailGag
[05:33:21] [Server thread/WARN]: Skipping BlockEntity with id tileTCRail
[05:33:21] [Server thread/WARN]: Skipping BlockEntity with id tileTCRail
[05:33:21] [Server thread/WARN]: Skipping BlockEntity with id tileTCRail
[05:33:21] [Server thread/WARN]: Skipping BlockEntity with id tileTCRailGag
[05:33:21] [Server thread/WARN]: Skipping BlockEntity with id tileTCRail
[05:33:21] [Server thread/WARN]: Skipping BlockEntity with id tileTCRailGag
[05:33:21] [Server thread/WARN]: Skipping BlockEntity with id tileTCRailGag
[05:33:21] [Server thread/WARN]: Skipping BlockEntity with id tileTCRail
[05:33:21] [Server thread/WARN]: Skipping BlockEntity with id tileTCRailGag
[05:33:21] [Server thread/WARN]: Skipping BlockEntity with id tileTCRailGag
[05:33:21] [Server thread/WARN]: Skipping BlockEntity with id tileTCRail
[05:33:21] [Server thread/WARN]: Skipping BlockEntity with id tileTCRailGag
[05:33:21] [Server thread/WARN]: Skipping BlockEntity with id tileTCRail
[05:33:21] [Server thread/WARN]: Skipping BlockEntity with id tileTCRailGag
[05:33:21] [Server thread/WARN]: Skipping BlockEntity with id tileTCRailGag
[05:33:21] [Server thread/WARN]: Skipping BlockEntity with id tileTCRail
[05:33:21] [Server thread/WARN]: Skipping BlockEntity with id tileTCRail
[05:33:21] [Server thread/WARN]: Skipping BlockEntity with id tileTCRailGag
[05:33:21] [Server thread/WARN]: Skipping BlockEntity with id tileTCRailGag
[05:33:21] [Server thread/WARN]: Skipping BlockEntity with id tileTCRailGag
[05:33:21] [Server thread/WARN]: Skipping BlockEntity with id tileTCRailGag
[05:33:21] [Server thread/WARN]: Skipping BlockEntity with id tileTCRailGag
[05:33:21] [Server thread/WARN]: Skipping BlockEntity with id tileTCRailGag
[05:33:21] [Server thread/WARN]: Skipping BlockEntity with id tileTCRail
[05:33:21] [Server thread/WARN]: Skipping BlockEntity with id tileTCRailGag
[05:33:21] [Server thread/WARN]: Skipping BlockEntity with id tileTCRail
[05:33:21] [Server thread/WARN]: Skipping BlockEntity with id tileTCRail
[05:33:21] [Server thread/WARN]: Skipping BlockEntity with id tileTCRailGag
[05:33:21] [Server thread/WARN]: Skipping BlockEntity with id tileTCRailGag
[05:33:21] [Server thread/WARN]: Skipping BlockEntity with id tileTCRailGag
[05:33:21] [Server thread/WARN]: Skipping BlockEntity with id tileTCRailGag
[05:33:21] [Server thread/WARN]: Skipping BlockEntity with id tileTCRailGag
[05:33:21] [Server thread/WARN]: Skipping BlockEntity with id tileTCRailGag
[05:33:21] [Server thread/WARN]: Skipping BlockEntity with id tileTCRailGag
[05:33:21] [Server thread/WARN]: Skipping BlockEntity with id tileTCRailGag
[05:33:21] [Server thread/WARN]: Skipping BlockEntity with id tileTCRailGag
[05:33:21] [Server thread/WARN]: Skipping BlockEntity with id tileTCRail
[05:33:21] [Server thread/WARN]: Skipping BlockEntity with id tileTCRailGag
[05:33:21] [Server thread/WARN]: Skipping BlockEntity with id tileTCRailGag
[05:33:21] [Server thread/WARN]: Skipping BlockEntity with id RCTileStructureDualHeadDistantSignal
[05:33:21] [Server thread/WARN]: Skipping BlockEntity with id tileTCRailGag
[05:33:21] [Server thread/WARN]: Skipping BlockEntity with id tileTCRailGag
[05:33:21] [Server thread/WARN]: Skipping BlockEntity with id tileTCRailGag
[05:33:21] [Server thread/WARN]: Skipping BlockEntity with id tileTCRail
[05:33:21] [Server thread/WARN]: Skipping BlockEntity with id tileTCRail
[05:33:21] [Server thread/WARN]: Skipping BlockEntity with id tileTCRail
[05:33:21] [Server thread/WARN]: Skipping BlockEntity with id tileTCRailGag
[05:33:21] [Server thread/WARN]: Skipping BlockEntity with id tileTCRailGag
[05:33:21] [Server thread/WARN]: Skipping BlockEntity with id tileTCRailGag
[05:33:21] [Server thread/WARN]: Skipping BlockEntity with id tileTCRailGag
[05:33:21] [Server thread/WARN]: Skipping BlockEntity with id tileTCRail
[05:33:21] [Server thread/WARN]: Skipping BlockEntity with id tileTCRail
[05:33:21] [Server thread/WARN]: Skipping BlockEntity with id tileTCRailGag
[05:33:21] [Server thread/WARN]: Skipping BlockEntity with id tileTCRail
[05:33:21] [Server thread/WARN]: Skipping BlockEntity with id tileTCRail
[05:33:21] [Server thread/WARN]: Skipping BlockEntity with id tileTCRailGag
[05:33:21] [Server thread/WARN]: Skipping BlockEntity with id tileTCRailGag
[05:33:21] [Server thread/WARN]: Skipping BlockEntity with id tileTCRail
[05:33:21] [Server thread/WARN]: Skipping BlockEntity with id tileTCRailGag
[05:33:21] [Server thread/WARN]: Skipping BlockEntity with id RCTileStructureDualHeadDistantSignal
[05:33:21] [Server thread/WARN]: Skipping BlockEntity with id tileTCRailGag
[05:33:21] [Server thread/WARN]: Skipping BlockEntity with id tileTCRail
[05:33:21] [Server thread/WARN]: Skipping BlockEntity with id tileTCRail
[05:33:21] [Server thread/WARN]: Skipping BlockEntity with id tileTCRailGag
[05:33:21] [Server thread/WARN]: Skipping BlockEntity with id tileTCRail
[05:33:21] [Server thread/WARN]: Skipping BlockEntity with id tileTCRail
[05:33:21] [Server thread/WARN]: Skipping BlockEntity with id tileTCRailGag
[05:33:21] [Server thread/WARN]: Skipping BlockEntity with id tileTCRailGag
[05:33:21] [Server thread/WARN]: Skipping BlockEntity with id tileTCRailGag
[05:33:21] [Server thread/WARN]: Skipping BlockEntity with id tileTCRailGag
[05:33:21] [Server thread/WARN]: Skipping BlockEntity with id tileTCRailGag
[05:33:21] [Server thread/WARN]: Skipping BlockEntity with id tileTCRail
[05:33:21] [Server thread/WARN]: Skipping BlockEntity with id tileTCRail
[05:33:21] [Server thread/WARN]: Skipping BlockEntity with id tileTCRailGag
[05:33:21] [Server thread/WARN]: Skipping BlockEntity with id tileTCRail
[05:33:21] [Server thread/WARN]: Skipping BlockEntity with id tileTCRailGag
[05:33:21] [Server thread/WARN]: Skipping BlockEntity with id tileTCRailGag
[05:33:21] [Server thread/WARN]: Skipping BlockEntity with id tileTCRailGag
[05:33:21] [Server thread/WARN]: Skipping BlockEntity with id tileTCRailGag
[05:33:21] [Server thread/WARN]: Skipping BlockEntity with id tileTCRailGag
[05:33:21] [Server thread/WARN]: Skipping BlockEntity with id tileTCRail
[05:33:21] [Server thread/WARN]: Skipping BlockEntity with id tileTCRailGag
[05:33:21] [Server thread/WARN]: Skipping BlockEntity with id tileTCRailGag
[05:33:21] [Server thread/WARN]: Skipping BlockEntity with id tileTCRailGag
[05:33:21] [Server thread/WARN]: Skipping BlockEntity with id tileTCRailGag
[05:33:21] [Server thread/WARN]: Skipping BlockEntity with id tileTCRailGag
[05:33:21] [Server thread/WARN]: Skipping BlockEntity with id tileTCRail
